age,gender,first_generation_college,international_student,residency_status,high_school_gpa,sat_score,act_score,advanced_courses_taken,extracurricular_activities,major,enrollment_status,semester_credits,admission_type,starting_semester,family_income,financial_aid_received,pell_grant_eligible (scholarship),student_loan_amount,has_campus_job,current_gpa,credits_completed,courses_failed,courses_withdrawn,attendance_rate,study_hours_per_week,library_visits_per_month,tutoring_sessions_attended,advisor_meetings,clubs_joined,living_arrangement,has_disability,distance_from_campus_miles,work_hours_per_week,dropped_out
23,Male,No,No,In-state,2.88,1034.0,26,2,2,Health Sciences,Full-time,12,Transfer,Fall,$30k-$60k,Yes,No,239,Yes,3.63,23,0,0,73.6,21,0,0,3,0,On-campus,No,64,18,No
20,Male,Yes,No,In-state,2.79,1162.0,20,3,2,Social Sciences,Full-time,18,Regular,Spring,$60k-$100k,No,Yes,24364,No,1.92,45,2,3,77.6,11,4,2,1,2,On-campus,No,0,2,Yes
19,Female,No,No,In-state,3.44,1264.0,22,5,2,Arts & Sciences,Full-time,12,Regular,Fall,$60k-$100k,Yes,No,18313,Yes,2.13,96,0,0,69.9,28,2,2,1,0,On-campus,No,10,5,Yes
17,Male,No,Yes,In-state,2.86,966.0,28,4,3,Engineering,Full-time,18,Regular,Fall,$30k-$60k,Yes,No,11918,Yes,3.22,3,0,1,83.8,24,1,0,0,1,Off-campus,No,24,27,No
17,Male,Yes,Yes,Out-of-state,3.77,1174.0,25,8,1,Business,Full-time,15,Early Decision,Fall,$30k-$60k,Yes,No,6449,No,3.18,1,1,1,79.8,7,7,5,1,0,On-campus,No,15,10,No
22,Female,No,No,In-state,3.25,1153.0,23,4,4,Social Sciences,Full-time,15,Regular,Fall,<$30k,Yes,No,3866,No,3.63,21,0,0,79.8,7,4,0,3,1,On-campus,No,10,18,No
17,Female,No,No,In-state,3.19,1264.0,19,3,2,Business,Full-time,12,Regular,Spring,$30k-$60k,Yes,No,5406,Yes,3.08,52,0,0,79.8,25,4,2,0,1,On-campus,No,15,1,No
18,Female,No,No,In-state,3.09,1084.0,30,3,2,Education,Full-time,15,Regular,Spring,<$30k,No,No,9606,No,4.0,21,1,0,93.1,2,2,2,0,1,At home,No,34,3,No
17,Male,No,No,In-state,3.2,1006.0,22,2,2,Education,Full-time,15,Regular,Fall,$100k+,Yes,Yes,21814,No,3.25,40,0,1,72.9,6,1,1,2,1,Commuter,No,7,10,No
17,Male,No,No,In-state,2.92,1384.0,18,8,4,Business,Full-time,18,Regular,Fall,$60k-$100k,Yes,No,5442,No,2.32,26,0,1,76.4,8,4,2,0,3,At home,No,2,8,No
